last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter,name_matching
Abercron,Dr. Michael von,CDU/CSU,Schleswig-Holstein,Pinneberg,7.0,mvabercron,Michael Abercron
Achelwilm,Doris,Die Linke,,,,doris_achelwilm,Doris Achelwilm
Aggelidis,Grigorios,FDP,Niedersachsen,Hannover-Land I,43.0,aggelidis_fdp,Grigorios Aggelidis
Akbulut,Gökay,Die Linke,Baden-Württemberg,Mannheim,275.0,akbulutgokay,Gokay Akbulut
Albani,Stephan,CDU/CSU,Niedersachsen,Oldenburg – Ammerland,27.0,,Stephan Albani
Alt,Renata,FDP,,,,,Renata Alt
Altenkamp,Norbert,CDU/CSU,Hessen,Main-Taunus,181.0,,Norbert Altenkamp
Altmaier,Peter,CDU/CSU,Saarland,Saarlouis,297.0,peteraltmaier,Peter Altmaier
Amthor,Philipp,CDU/CSU,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,16.0,,Philipp Amthor
Amtsberg,Luise,Bündnis 90/Die Grünen,,,,,Luise Amtsberg
Andreae,Kerstin,Bündnis 90/Die Grünen  *,Baden-Württemberg,Freiburg,281.0,,Kerstin Andreae
Annen,Niels,SPD,Hamburg,Hamburg-Eimsbüttel,20.0,NielsAnnen,Niels Annen
Arndt-Brauer,Ingrid,SPD,Nordrhein-Westfalen,Steinfurt I – Borken I,124.0,,Ingrid Arndt-Brauer
Aschenberg-Dugnus,Christine,FDP,Schleswig-Holstein,Rendsburg-Eckernförde,4.0,cad59,Christine Aschenberg-Dugnus
Auernhammer,Artur,CDU/CSU,Bayern,Ansbach,241.0,,Artur Auernhammer
Aumer,Peter,CDU/CSU,Bayern,Regensburg,233.0,PeterAumer,Peter Aumer
Bach,Bela,SPD,,,,bela_bach,Bela Bach
Badum,Lisa,Bündnis 90/Die Grünen,Bayern,Bamberg,236.0,badulrichmartha,Lisa Badum
Baehrens,Heike,SPD,,,,,Heike Baehrens
Bär,Dorothee,CDU/CSU,Bayern,Bad Kissingen,248.0,DoroBaer,Dorothee Bar
Baerbock,Annalena,Bündnis 90/Die Grünen,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61.0,ABaerbock,Annalena Baerbock
Bahr,Ulrike,SPD,Bayern,Augsburg-Stadt,252.0,MdB_Ulrike_Bahr,Ulrike Bahr
Baradari,Nezahat,SPD,Nordrhein-Westfalen,Olpe – Märkischer Kreis I,149.0,,Nezahat Baradari
Bareiß,Thomas,CDU/CSU,Baden-Württemberg,Zollernalb – Sigmaringen,295.0,Thomas_Bareiss,Thomas Bareiss
Barley,Dr. Katarina,SPD  *,,,,,Katarina Barley
Barnett,Doris,SPD,Rheinland-Pfalz,Ludwigshafen/Frankenthal,207.0,,Doris Barnett
Barrientos,Simone,Die Linke,Bayern,Würzburg,251.0,SBarrientosK,Simone Barrientos
Barthle,Norbert,CDU/CSU,Baden-Württemberg,Backnang – Schwäbisch Gmünd,269.0,,Norbert Barthle
Bartke,Dr. Matthias,SPD,Hamburg,Hamburg-Altona,19.0,matthiasbartke ,Matthias Bartke
Bartol,Sören,SPD,Hessen,Marburg,171.0,soerenbartol,Soren Bartol
Bartsch,Dr. Dietmar,Die Linke,,,,DietmarBartsch,Dietmar Bartsch
Bas,Bärbel,SPD,Nordrhein-Westfalen,Duisburg I,115.0,baerbelbas,Barbel Bas
Bauer,Nicole,FDP,Bayern,Landshut,228.0,nicole_ae_bauer,Nicole Bauer
Baumann,Dr. Bernd,AfD,Hamburg,Hamburg-Altona,19.0,berndbaumannafd,Bernd Baumann
Bause,Margarete,Bündnis 90/Die Grünen,Bayern,München-Ost,218.0,MargareteBause,Margarete Bause
Bayaz,Dr. Danyal,Bündnis 90/Die Grünen,Baden-Württemberg,Bruchsal – Schwetzingen,278.0,derdanyal,Danyal Bayaz
Bayram,Canan,Bündnis 90/Die Grünen,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,83.0,LieblingXhain,Canan Bayram
Beeck,Jens,FDP,Niedersachsen,Mittelems,31.0,jensbeeck,Jens Beeck
Beer,Nicola,FDP  *,Hessen,Frankfurt am Main I,182.0,,Nicola Beer
Beermann,Maik,CDU/CSU,Niedersachsen,Nienburg II – Schaumburg,40.0,MaikBeermann,Maik Beermann
Behrens (Börde),Manfred,CDU/CSU,Sachsen-Anhalt,Börde – Jerichower Land,67.0,Manfredbehrens,Manfred Behrens
Bellmann,Veronika,CDU/CSU,,,,,Veronika Bellmann
Benning,Sybille,CDU/CSU,Nordrhein-Westfalen,Münster,129.0,SybilleBenning,Sybille Benning
Berghegger,Dr. André,CDU/CSU,Niedersachsen,Osnabrück-Land,38.0,,Andre Berghegger
Bernhard,Marc,AfD,Baden-Württemberg,Karlsruhe-Stadt,271.0,MarcBernhardAfD,Marc Bernhard
Bernstein,Melanie,CDU/CSU,,,,,Melanie Bernstein
Bernstiel,Christoph,CDU/CSU,Sachsen-Anhalt,Halle,72.0,c_bernstiel,Christoph Bernstiel
Beutin,Lorenz Gösta,Die Linke,Schleswig-Holstein,Plön – Neumünster,6.0,lgbeutin,Lorenz Beutin
Beyer,Peter,CDU/CSU,Nordrhein-Westfalen,Mettmann II,105.0,Peter_Beyer,Peter Beyer
Biadacz,Marc,CDU/CSU,Baden-Württemberg,Böblingen,260.0,MBiadaczMdB,Marc Biadacz
Bilger,Steffen,CDU/CSU,Baden-Württemberg,Ludwigsburg,265.0,steffenbilger,Steffen Bilger
Binding (Heidelberg),Lothar,SPD,,,,lothar_binding,Lothar Binding
Birkwald,Matthias W.,Die Linke,Nordrhein-Westfalen,Köln II,94.0,MWBirkwald,Matthias Birkwald
Bleck,Andreas,AfD,Rheinland-Pfalz,Neuwied,197.0,AndreasBleckMdB,Andreas Bleck
Bleser,Peter,CDU/CSU,Rheinland-Pfalz,Mosel/Rhein-Hunsrück,200.0,,Peter Bleser
Bluhm-Förster,Heidrun,Die Linke,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte II – Landkreis Rostock III,17.0,,Heidrun Bluhm-Forster
Boehringer,Peter,AfD,Bayern,Amberg,232.0,PeterBoehringer,Peter Boehringer
Brackmann,Norbert,CDU/CSU,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10.0,,Norbert Brackmann
Brand (Fulda),Michael,CDU/CSU,Hessen,Fulda,174.0,,Michael Brand
Brandenburg (Rhein-Neckar),Dr. Jens,FDP,Baden-Württemberg,Rhein-Neckar,277.0,JBrandenburgFDP,Jens Brandenburg
Brandenburg (Südpfalz),Mario,FDP,Rheinland-Pfalz,Südpfalz,211.0,,Mario Brandenburg
Brandl,Dr. Reinhard,CDU/CSU,Bayern,Ingolstadt,216.0,,Reinhard Brandl
Brandner,Stephan,AfD,Thüringen,Erfurt – Weimar – Weimarer Land II,193.0,stbrandner,Stephan Brandner
Brandt,Michel,Die Linke,Baden-Württemberg,Karlsruhe-Stadt,271.0,michel_brandt_,Michel Brandt
Brantner,Dr. Franziska,Bündnis 90/Die Grünen,Baden-Württemberg,Heidelberg,274.0,fbrantner,Franziska Brantner
Brauksiepe,Dr. Ralf,CDU/CSU  *,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis II,139.0,,Ralf Brauksiepe
Braun,Prof. Dr. Helge,CDU/CSU,Hessen,Gießen,173.0,HBraun,Helge Braun
Braun,Jürgen,AfD,Baden-Württemberg,Waiblingen,264.0,JuergenBraunAfD,Jurgen Braun
Brecht,Dr. Eberhard,SPD,Sachsen-Anhalt,Harz,68.0,,Eberhard Brecht
Breher,Silvia,CDU/CSU,,,,,Silvia Breher
Brehm,Sebastian,CDU/CSU,Bayern,Nürnberg-Nord,244.0,brehm_innbgnord,Sebastian Brehm
Brehmer,Heike,CDU/CSU,Sachsen-Anhalt,Harz,68.0,HeikeBrehmerMdB,Heike Brehmer
Breymaier,Leni,SPD,Baden-Württemberg,Aalen – Heidenheim,270.0,LeniBreymaier,Leni Breymaier
Brinkhaus,Ralph,CDU/CSU,Nordrhein-Westfalen,Gütersloh I,131.0,rbrinkhaus,Ralph Brinkhaus
Brodesser,Dr. Carsten,CDU/CSU,Nordrhein-Westfalen,Oberbergischer Kreis,99.0,,Carsten Brodesser
Brugger,Agnieszka,Bündnis 90/Die Grünen,Baden-Württemberg,Ravensburg,294.0,agnieszka_mdb,Agnieszka Brugger
Brunner,Dr. Karl-Heinz,SPD,Bayern,Neu-Ulm,255.0,brunnerganzohr,Karl-Heinz Brunner
Bubendorfer-Licht,Sandra,FDP,,,,,Sandra Bubendorfer-Licht
Buchholz,Dr. Bernd,FDP  ***,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10.0,,Bernd Buchholz
Buchholz,Christine,Die Linke,,,,ch_buchholz,Christine Buchholz
Budde,Katrin,SPD,Sachsen-Anhalt,Mansfeld,74.0,,Katrin Budde
Bühl,Marcus,AfD,Thüringen,,,Marcus_Buehl,Marcus Buhl
Bülow,Marco,fraktionslos,Nordrhein-Westfalen,Dortmund I,142,,Marco Bulow
Büttner,Matthias,AfD,Sachsen-Anhalt,Altmark,66,Buettner_MdB,Matthias Buttner
Bull-Bischoff,Dr. Birke,Die Linke,,,,,Birke Bull-Bischoff
Burkert,Martin,SPD  *,Bayern,Nürnberg-Süd,245,,Martin Burkert
Buschmann,Dr. Marco,FDP,Nordrhein-Westfalen,Gelsenkirchen,123,,Marco Buschmann
Busen,Karlheinz,FDP,Nordrhein-Westfalen,Borken II,126,,Karlheinz Busen
Bystron,Petr,AfD,Bayern,München-Nord,217,BystronAfD,Petr Bystron
Castellucci,Prof. Dr. Lars,SPD,,,,larscastellucci,Lars Castellucci
Cezanne,Jörg,Die Linke,Hessen,Groß-Gerau,184,,Jorg Cezanne
Christmann,Dr. Anna,Bündnis 90/Die Grünen,Baden-Württemberg,Stuttgart II,259,annachristmann,Anna Christmann
Chrupalla,Tino,AfD,Sachsen,Görlitz,157,Tino_Chrupalla,Tino Chrupalla
Connemann,Gitta,CDU/CSU,Niedersachsen,Unterems,25,gitta_connemann,Gitta Connemann
Cotar,Joana,AfD,Hessen,,,JoanaCotar,Joana Cotar
Cronenberg,Carl-Julius,FDP,Nordrhein-Westfalen,Hochsauerlandkreis,147,,Carl-Julius Cronenberg
Curio,Dr. Gottfried,AfD,Berlin,,,GottfriedCurio,Gottfried Curio
Dahmen,Dr. Janosch,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Ennepe-Ruhr-Kreis II,139,janoschdahmen,Janosch Dahmen
Daldrup,Bernhard,SPD,Nordrhein-Westfalen,Warendorf,130,,Bernhard Daldrup
Damerow,Astrid,CDU/CSU,Schleswig-Holstein,Nordfriesland – Dithmarschen Nord,2,,Astrid Damerow
Dassler,Britta Katharina,FDP,Bayern,Erlangen,242,,Britta Dassler
Dağdelen,Sevim,Die Linke,Nordrhein-Westfalen,Bochum I,140,SevimDagdelen,Sevim Dagdelen
De Masi,Fabio,Die Linke,Hamburg,,,Fabiodemasi,Fabio De
De Ridder,Dr. Daniela,SPD,Niedersachsen,Mittelems,31,,Daniela De
Dehm,Dr. Diether,Die Linke,,,,Diether_Dehm,Diether Dehm
Deligöz,Ekin,Bündnis 90/Die Grünen,Bayern,Neu-Ulm,255,ekindeligoez,Ekin Deligoz
Diaby,Dr. Karamba,SPD,Sachsen-Anhalt,Halle,72,KarambaDiaby,Karamba Diaby
Dilcher,Esther,SPD,Hessen,Waldeck,167,,Esther Dilcher
Dittmar,Sabine,SPD,Bayern,Bad Kissingen,248,dittmarsabine,Sabine Dittmar
Djir-Sarai,Bijan,FDP,,,,,Bijan Djir-Sarai
Dobrindt,Alexander,CDU/CSU,Bayern,Weilheim,226,,Alexander Dobrindt
Dörner,Katja,Bündnis 90/Die Grünen  *,Nordrhein-Westfalen,Bonn,96,,Katja Dorner
Dött,Marie-Luise,CDU/CSU,Nordrhein-Westfalen,Oberhausen – Wesel III,117,,Marie-Luise Dott
Domscheit-Berg,Anke,Die Linke,,,,anked,Anke Domscheit-Berg
Donth,Michael,CDU/CSU,,,,,Michael Donth
Dröge,Katharina,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Köln III,95,katdro,Katharina Droge
Droese,Siegbert,AfD,Sachsen,Leipzig II,153,Siegbert_Droese,Siegbert Droese
Dürr,Christian,FDP,Niedersachsen,Delmenhorst – Wesermarsch – Oldenburg-Land,28,christianduerr,Christian Durr
Durz,Hansjörg,CDU/CSU,Bayern,Augsburg-Land,253,Hansjoerg_Durz,Hansjorg Durz
Ebbing,Hartmut,FDP,Berlin,Berlin-Steglitz-Zehlendorf,79,,Hartmut Ebbing
Ebner,Harald,Bündnis 90/Die Grünen,Baden-Württemberg,Schwäbisch Hall – Hohenlohe,268,ebner_sha,Harald Ebner
Ehrhorn,Thomas,AfD,Niedersachsen,Celle – Uelzen,44,Thomas_Ehrhorn,Thomas Ehrhorn
Elsner von Gronow,Berengar,AfD,Nordrhein-Westfalen,Soest,146,,Berengar Elsner
Erndl,Thomas,CDU/CSU,Bayern,Deggendorf,227,TErndl,Thomas Erndl
Ernst,Klaus,Die Linke,Bayern,Schweinfurt,250,ernst_klaus,Klaus Ernst
Esdar,Dr. Wiebke,SPD,Nordrhein-Westfalen,Bielefeld – Gütersloh II,132,,Wiebke Esdar
Esken,Saskia,SPD,Baden-Württemberg,Calw,280,EskenSaskia,Saskia Esken
Espendiller,Dr. Michael,AfD,Nordrhein-Westfalen,Steinfurt III,128,EspendillerM,Michael Espendiller
Faber,Dr. Marcus,FDP,Sachsen-Anhalt,Altmark,66,marcusfaber,Marcus Faber
Färber,Hermann,CDU/CSU,Baden-Württemberg,Göppingen,263,,Hermann Farber
Fahimi,Yasmin,SPD,Niedersachsen,Stadt Hannover II,42,,Yasmin Fahimi
Fechner,Dr. Johannes,SPD,,,,FechnerJohannes,Johannes Fechner
Feiler,Uwe,CDU/CSU,Brandenburg,Oberhavel – Havelland II,58,UweFe,Uwe Feiler
Felgentreu,Dr. Fritz,SPD,Berlin,Berlin-Neukölln,82,fritzfelgentreu,Fritz Felgentreu
Felser,Peter,AfD,Bayern,Oberallgäu,256,PeterFelser,Peter Felser
Ferlemann,Enak,CDU/CSU,,,,,Enak Ferlemann
Ferschl,Susanne,Die Linke,Bayern,Ostallgäu,257,,Susanne Ferschl
Fischer (Karlsruhe-Land),Axel E.,CDU/CSU,Baden-Württemberg,Karlsruhe-Land,272,Axel_Fischer,Axel Fischer
Flachsbarth,Dr. Maria,CDU/CSU,Niedersachsen,Hannover-Land II,47,,Maria Flachsbarth
Föst,Daniel,FDP,Bayern,München-Nord,217,dfoest,Daniel Fost
Franke,Dr. Edgar,SPD,Hessen,Schwalm-Eder,170,FrankeEdgar,Edgar Franke
Freese,Ulrich,SPD,Brandenburg,Cottbus – Spree-Neiße,64,ulifreese,Ulrich Freese
Frei,Thorsten,CDU/CSU,,,,thorsten_frei,Thorsten Frei
Freihold,Brigitte,Die Linke,Rheinland-Pfalz,Pirmasens,210,mdb_freihold,Brigitte Freihold
Freitag,Dagmar,SPD,,,,DagmarFreitag13,Dagmar Freitag
Freudenstein,Dr. Astrid,CDU/CSU  *,Bayern,,,,Astrid Freudenstein
Fricke,Otto,FDP,Nordrhein-Westfalen,Krefeld I – Neuss II,110,Otto_Fricke,Otto Fricke
Friedhoff,Dietmar,AfD,Niedersachsen,Hannover-Land I,43,friedhoff_afd,Dietmar Friedhoff
Friedrich (Hof),Dr. Hans-Peter,CDU/CSU,Bayern,Hof,239,HPFriedrichCSU,Hans-Peter Friedrich
Friesen,Dr. Anton,AfD,Thüringen,,,DrFriesenMdB,Anton Friesen
Frieser,Michael,CDU/CSU,,,,MichaelFrieser,Michael Frieser
Frömming,Dr. Götz,AfD,Berlin,,,gtzfrmming,Gotz Fromming
Frohnmaier,Markus,AfD,Baden-Württemberg,Böblingen,260,frohnmaier_afd,Markus Frohnmaier
Fuchtel,Hans-Joachim,CDU/CSU,Baden-Württemberg,Calw,280,fuchtel,Hans-Joachim Fuchtel
Gabelmann,Sylvia,Die Linke,,,,,Sylvia Gabelmann
Gabriel,Sigmar,SPD  *,Niedersachsen,Salzgitter – Wolfenbüttel,49,,Sigmar Gabriel
Gädechens,Ingo,CDU/CSU,Schleswig-Holstein,Ostholstein – Stormarn-Nord,9,,Ingo Gadechens
Gastel,Matthias,Bündnis 90/Die Grünen,Baden-Württemberg,Nürtingen,262,MatthiasGastel,Matthias Gastel
Gauland,Dr. Alexander,AfD,Brandenburg,Frankfurt (Oder) – Oder-Spree,63,,Alexander Gauland
Gebhart,Dr. Thomas,CDU/CSU,Rheinland-Pfalz,Südpfalz,211,thomasgebhart,Thomas Gebhart
Gehring,Kai,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Essen III,120,KaiGehring,Kai Gehring
Gehrke,Prof. Dr. Axel,AfD,Schleswig-Holstein,Ostholstein – Stormarn-Nord,9,axelgehrke,Axel Gehrke
Gelbhaar,Stefan,Bündnis 90/Die Grünen,,,,StefanGelbhaar,Stefan Gelbhaar
Gerdes,Michael,SPD,Nordrhein-Westfalen,Bottrop – Recklinghausen III,125,,Michael Gerdes
Gerig,Alois,CDU/CSU,Baden-Württemberg,Odenwald – Tauber,276,,Alois Gerig
Gerster,Martin,SPD,Baden-Württemberg,Biberach,292,,Martin Gerster
Gienger,Eberhard,CDU/CSU,Baden-Württemberg,Neckar-Zaber,266,,Eberhard Gienger
Glaser,Albrecht,AfD,,,,,Albrecht Glaser
Glöckner,Angelika,SPD,Rheinland-Pfalz,Pirmasens,210,A_Gloeckner,Angelika Glockner
Gminder,Franziska,AfD,Baden-Württemberg,,,,Franziska Gminder
Gnodtke,Eckhard,CDU/CSU,,,,,Eckhard Gnodtke
Göring-Eckardt,Katrin,Bündnis 90/Die Grünen,Thüringen,Erfurt – Weimar – Weimarer Land II,193,GoeringEckardt,Katrin Goring-Eckardt
Gohlke,Nicole,Die Linke,Bayern,München-Süd,219,NicoleGohlke,Nicole Gohlke
Gottberg,Wilhelm von,AfD,Niedersachsen,,,,Wilhelm Gottberg
Gottschalk,Kay,AfD,,,,kaygottschalk1,Kay Gottschalk
Gremmels,Timon,SPD,,,,Timon_Gremmels,Timon Gremmels
Griese,Kerstin,SPD,Nordrhein-Westfalen,Mettmann II,105,KerstinGriese,Kerstin Griese
Groden-Kranich,Ursula,CDU/CSU,Rheinland-Pfalz,Mainz,205,,Ursula Groden-Kranich
Gröhe,Hermann,CDU/CSU,Nordrhein-Westfalen,Neuss I,108,groehe,Hermann Grohe
Gröhler,Klaus-Dieter,CDU/CSU,Berlin,Berlin-Charlottenburg-Wilmersdorf,80,,Klaus-Dieter Grohler
Grötsch,Uli,SPD,Bayern,Weiden,235,UliGroetsch,Uli Grotsch
Groß,Michael,SPD,Nordrhein-Westfalen,Recklinghausen II,122,michaelgrossmdb,Michael Gross
Grosse-Brömer,Michael,CDU/CSU,,,,MGrosseBroemer,Michael Grosse-Bromer
Grotelüschen,Astrid,CDU/CSU,Niedersachsen,Delmenhorst – Wesermarsch – Oldenburg-Land,28,,Astrid Groteluschen
Grübel,Markus,CDU/CSU,Baden-Württemberg,Esslingen,261,GruebelMdb,Markus Grubel
Grütters,Prof. Monika,CDU/CSU,Berlin,Berlin-Marzahn-Hellersdorf,85,,Monika Grutters
Grund,Manfred,CDU/CSU,Thüringen,Eichsfeld – Nordhausen – Kyffhäuserkreis,189,manfred_grund,Manfred Grund
Grundl,Erhard,Bündnis 90/Die Grünen,Bayern,Straubing,231,Erhard_Grundl,Erhard Grundl
Grundmann,Oliver,CDU/CSU,Niedersachsen,Stade I – Rotenburg II,30,,Oliver Grundmann
Güntzler,Fritz,CDU/CSU,Niedersachsen,Göttingen,53,FGuentzler,Fritz Guntzler
Gutting,Olav,CDU/CSU,,,,olavgutting,Olav Gutting
Gysi,Dr. Gregor,Die Linke,Berlin,Berlin-Treptow-Köpenick,84,GregorGysi,Gregor Gysi
Haase,Christian,CDU/CSU,Nordrhein-Westfalen,Höxter – Lippe II,136,ChristianHaase6,Christian Haase
Hacker,Thomas,FDP,Bayern,Bayreuth,237,,Thomas Hacker
Hänsel,Heike,Die Linke,Baden-Württemberg,Tübingen,290,HeikeHaensel,Heike Hansel
Hagedorn,Bettina,SPD,Schleswig-Holstein,Ostholstein – Stormarn-Nord,9,,Bettina Hagedorn
Hagl-Kehl,Rita,SPD,Bayern,Deggendorf,227,RitaHaglKehl,Rita Hagl-Kehl
Hahn,Dr. André,Die Linke,Sachsen,Sächsische Schweiz-Osterzgebirge,158,,Andre Hahn
Hahn,Florian,CDU/CSU,Bayern,München-Land,221,hahnflo,Florian Hahn
Hajduk,Anja,Bündnis 90/Die Grünen,Hamburg,Hamburg-Nord,21,HajdukBundestag,Anja Hajduk
Hakverdi,Metin,SPD,Hamburg,Hamburg-Bergedorf – Harburg,23,MetinHakverdi,Metin Hakverdi
Hampel,Armin-Paulus,AfD,Niedersachsen,Hameln-Pyrmont – Holzminden,46,,Armin-Paulus Hampel
Hanke,Reginald,FDP,Thüringen,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,195,,Reginald Hanke
Harbarth,Dr. Stephan,CDU/CSU  *,,,,,Stephan Harbarth
Harder-Kühnel,Mariana Iris,AfD,Hessen,Main-Kinzig – Wetterau II – Schotten,175,M_HarderKuehnel,Mariana Harder-Kuhnel
Hardt,Jürgen,CDU/CSU,Nordrhein-Westfalen,Solingen – Remscheid – Wuppertal II,103,juergenhardt,Jurgen Hardt
Hartmann,Sebastian,SPD,Nordrhein-Westfalen,Rhein-Sieg-Kreis I,97,sebast_hartmann,Sebastian Hartmann
Hartmann,Verena,fraktionslos,Sachsen,,,,Verena Hartmann
Hartwig,Dr. Roland,AfD,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,100,R_Hartwig_AfD,Roland Hartwig
Haßelmann,Britta,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Bielefeld – Gütersloh II,132,BriHasselmann,Britta Hasselmann
Hauer,Matthias,CDU/CSU,Nordrhein-Westfalen,Essen III,120,MatthiasHauer,Matthias Hauer
Haug,Jochen,AfD,Nordrhein-Westfalen,Köln II,94,Jochen_Haug,Jochen Haug
Hauptmann,Mark,CDU/CSU,Thüringen,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,196,MarkHauptmann,Mark Hauptmann
Hebner,Martin,AfD,,,,,Martin Hebner
Heidenblut,Dirk,SPD,Nordrhein-Westfalen,Essen II,119,DHeidenblut,Dirk Heidenblut
Heider,Dr. Matthias,CDU/CSU,,,,MatthiasHeider,Matthias Heider
Heidt,Peter,FDP,Hessen,Wetterau I,177,PeterHeidtFDP,Peter Heidt
Heil (Peine),Hubertus,SPD,Niedersachsen,Gifhorn – Peine,45,hubertus_heil,Hubertus Heil
Heil,Mechthild,CDU/CSU,Rheinland-Pfalz,Ahrweiler,198,mechthildheil,Mechthild Heil
Heilmann,Thomas,CDU/CSU,,,,ThomasHeilmann,Thomas Heilmann
Heinrich (Chemnitz),Frank,CDU/CSU,Sachsen,Chemnitz,162,frankheinrich,Frank Heinrich
