doc_id;username;retweet_count;favorite_count;full_text;label;topic
6216;voglerk;0;0;@UweNess @jensspahn Ich halte diese These fuer puren Ableismus.;negative;
28502;ChristophFDP;1;34;Immer noch sind HIV und AIDS Gruende, den Kontakt zu Betroffenen abzubrechen. Das betruebt. Lasst uns weiter dafuer kaempfen, diesen beschi***** Virus zu besiegen und vor allem: Bietet denen, die gegen ihn kaempfen, einen Platz in eurer Mitte. WorldAIDSDay TM;negative;Corona
6134;FrankSchwabe;2;0;@Nordkurier Und damit ist das Thema uebrigens fuer Karin Strenz auch noch nicht durch. Sie laesst weiterhin entscheidende Fragen unbeantwortet. Und letztlich hat sie durch ihre politische Taetigkeit mindestens 22.000 Euro aus Aserbaidschan erhalten, die sie ja wohl auch nicht abgegeben hat.;negative;
19742;fbrantner;0;6;Viel Erfolg Gerhard! So eine wichtige Arbeit!;positive;
26510;AndreasBleckMdB;38;140;Verstaerkte Grenzkontrollen werte ich als einen Schritt in die richtige Richtung! Die AfD setzt sich mit aller Kraft fuer permanente Grenzkontrollen ein!;positive;Grenzkontrollen
45221;HeikoMaas;12;68;Das Institut fuer Zukunftsenergiesysteme (IZES) traegt mit seiner Arbeit dazu bei, dass wir eine lebenswerte Zukunft haben: Es treibt von Saarbruecken aus die globale Energiewende voran. Mir war es eine Ehre, heute zum 20. Jubilaeum sprechen zu duerfen. Danke fuer die wichtige Arbeit!;positive;Klima/Energiewende
12049;gydej;0;2;Endlich wieder ein kuerzerer Weg zur Arbeit. GoodJob DasBestefuerSH Infrastruktur;positive;Infrastruktur
15150;RKiesewetter;0;0;@k_norden @BangertNorbert @Luisamneubauer Was sollen solche Beleidigungen? Sie halten leider Kritik nicht aus und auch nicht Tatsachen. Schade.;negative;
34724;victorperli;1;2;@OlafScholz hat einen Negativrekord im Bundestag aufgestellt. Erst nach 91 Tagen Amtszeit laesst er sich im Haushaltsausschuss blicken. Kein Finanzminister hat sich so viel Zeit gelassen. Dafuer haben ihn alle Oppositionsfraktionen geruegt (ausser die handzahme AfD). WoistScholz;negative;
17369;AfDNbg;0;2;Ja es ist schon ein Graus fuer den Spiegel. Es will einfach nicht klappen, die AfD bleibt konservative. Der Spiegel sollte sich langsam Mal Gedanken machen, warum seine Verkaufszahlen in den Keller fallen. Mit diesem Gesinnungsjournalismus ist bald kein Brot mehr zuverdienen.;negative;
25902;CarenLay;0;2;@TobiasSchilling @juliannyca @egobischof @welt Umso schlimmer, dass dann ausgerechnet Nazis zum Kaffeekraenzchen geladen werden.;negative;Right
26503;berndsiebert;0;0;Bin entsetzt ueber das widerliche Flugblatt von Chaoten die zur Jagd auf Soldaten aufrufen. Bild;negative;
14804;DirkSpaniel;2;13;@JoanaCotar Diese Aussage ist an Widerlichkeit nicht zu ueberbieten.;negative;
43928;stonie_kiel;0;3;Kanalsteurer am NOK - koennen jetzt auch Kurzarbeitergeld bei der @Bundesagentur beantragen - danke @BMAS_Bund  @BMVI fuer die zuegige Reaktion trotz Urteils des Landesarbeitsgerichts SH.  Dennoch hoffe ich, das der Einbruch am Nord-Ostsee-Kanal nicht so hart wird. Coronakrise;positive;Corona
1165;Schmidt_MdB;0;2;Dobrindts und Seehofers Aussagen sind ein klarer Angriff gegen unseren Rechtsstaat! Dass vor allem Innenminister Seehofer den Schwaechsten aus Zeit- und Kostengruenden das Einspruch- und Klagerecht absprechen will, ist mehr als daneben. @BMI_Bund @CSU;negative;
22467;kaygottschalk1;0;0;Damit ist die Tuerkei auf lange Sicht als EU Beitrittskandidat untragbar!;negative;Europe
1835;svenlehmann;24;66;Unfassbar: In NRW ist fast jeder fuenfte Mensch arm. Und Schwarz-Gelb will die Arbeitslosenzentren nicht mehr finanzieren. Diese Zentren sind so wichtig. Es ist sozial kalt, gerade Menschen in Armut die oft einzige Anlaufstelle wegzunehmen, @ArminLaschet!;negative;Soziales
53342;MariaKlSchmeink;0;3;@K_SA War eine gute Diskussion gestern. Und dann so ein  Nachthimmel im Gehen. Wunderbar;positive;
7588;sebast_hartmann;0;3;Herzlichen Dank an die SPD Rhein-Kreis Neuss fuer die Einladung gestern. Wir sind gerne vorbeigekommen, um uns und unsere Ideen fuer die NRWSPD vorzustellen.;positive;
25931;Petra_Sitte_MdB;5;76;Heute im Buero. Bei allem Ernst der Corona-Pandemie. Dass ich das erleben darf. Vermummung im Bundestag ist legal. @Linksfraktion;negative;Corona
11256;agnieszka_mdb;4;35;Ich bekenne: Ich bin jetzt ein Grundsatzprogramm Fangirl. So viele tolle Impulse, so viel Begeisterung bei ueber 400 alten  neuen Mitgliedern, so viel Sinn  so viel Spass - das war ne sehr coole Nummer von @gruenebw gestern in Stuttgart! neuezeitenneueantworten;positive;
50477;danielakolbe;0;0;@diestimme2 @sozialromantik @SPDSachsen @spdde Schoene einfache Welt, in der sie da leben...welche politischen Kraefte werden es denn Ihrer Meinung nach bewerkstelligen, dass es weniger Armut in D gibt?;negative;Armut
1673;sven_kindler;30;68;Statt die Zivilgesellschaft zu staerken und fuer Rechtssicherheit bei der Gemeinnuetzigkeit zu sorgen, will @OlafScholz ihr weitere Knueppel zwischen die Beine werfen. Der Entwurf zielt auf eine Entpolitisierung der Zivilgesellschaft. Und das in diesen Zeiten;negative;
1204;utevogt;4;26;Danke @hubertus_heil Es war schwer auszuhalten was die AfD hier geboten hat. Genau solche Hassreden sind der Naehrboden fuer Gewalt in unserem Land. Niewieder !;negative;Right
32117;n_roettgen;34;217;Was wir in Stuttgart  Frankfurt erlebt haben, sind junge Maenner mit extremer Gewaltbereitschaft. Hier tut sich ein Riss in der Gesellschaft auf, den wir nicht durch deplatziertes Polizei Bashing ueberwinden, sondern durch Praevention, Polizeipraesenz  Strafverfolgung. Dreyer;negative;
24696;DaniLudwigMdB;1;6;Unsere Eilverordnung kam zur rechten Zeit! Die Coronakrise bietet auch die Chance zur Weiterentwicklung der Substitutionstherapie. Diese Chance sollten wir nutzen! @BMG_Bund @Aidshilfe_de;positive;Corona
47818;GottfriedCurio;1006;3670;"Deutschland droht ein zweites 2015, diesmal mit Hardcore-Islamisten, die bis zuletzt gekaempft haben; und was trendet hier? sportstudio DSDS Takemeout und zwei Fussballspiele. Ist das jetzt Desinteresse, Apathie oder das letzte Spielen der Bordkapelle, waehrend das Schiff sinkt?";negative;Flüchtingskrise
52352;f_schaeffler;3;26;Bisher hat die Regierung viel Tam-Tam um ihre Blockchain-Strategie gemacht, doch mehr als heisse Luft hat sie noch nicht produziert. Bundestag;negative;
4913;martinarenner;29;79;Wird gerade viel zu wenig beachtet. Fuer die Beschaeftigten, die in Corona-Krise Alles geben und am Rand des Leistbaren sind, hat Bundesregierung die Arbeitszeit verlaengert und Ruhezeiten verkuerzt. Arbeitszeitschutz wurde hart erkaempft und muss auch in schwierigen Zeiten gelten.;negative;Corona
47048;jensspahn;11;136;Bei der Migration muessen wir steuern und entscheiden, wer zu uns kommt. Gut ausgebildete Fachkraefte sind genau die Art Zuwanderung, die wir brauchen. Sie wollen mit anpacken! Das ist die Zuwanderung, die wir fuer eine gute Zukunft wollen u. vor allem brauchen. DLT19 @Junge_Union;positive;Migration
40160;MatthiasHauer;4;37;Vorsicht ist das Gebot - und nicht Uebermut! Kanzlerin Merkel erklaert klar und gut nachvollziehbar, warum der Reproduktionsfaktor nicht ueber 1 steigen darf. Ansehen! Schon bei 1,1 wuerde das Gesundheitssystem im Oktober seine Grenze erreichen. CoronaVirusDE Corona Coronavirus;positive;Corona
7860;michel_brandt_;16;37;Viel kaputter als Salvini geht kaum. Jetzt weist er die eigene Kuestenwache ab, weil sie Leben rettet. Es ist hoechste Zeit Dublin 3 als gescheitert zu erklaeren. Die sogenannte Koalition der Willigen redet nur waehrend taeglich Menschen sterben. safepassage;negative;
17749;korkmazgt;0;6;Coole Aktion @nrwjusos! Soziale Zukunft gibts nichtfuerlau! Krass, welchen Hass sie auf sich ziehen. @Der_FrederiCo;positive;
34564;stephankuehn;13;61;Auch 5 Jahre nach dem Abgasskandal leidet die Aufklaerung daran, dass die Abgastests ausgerechnet von jener Behoerde durchgefuehrt werden, die durch ihre Kumpanei mit den Autoherstellern monatelang in den Schlagzeilen stand. Und Scheuer tut weiterhin nichts;negative;Abgasskandal
41409;karl_lauterbach;11;73;Bei von der Leyen versinkt das Ministerium offenbar im Chaos. Nur auf die Forderung nach mehr Geld bei jeder Rede kann man sich noch verlassen. Hoffentlich hat das bald ein Ende, das koennen wir uns nicht leisten.;negative;
49588;erwin_rueddel;0;1;Die Eiermaenner sind nun seit 33 Jahren im Karneval aktiv. Herzlichen Glueckwunsch und Dank fuer die Pflege unseres rheinischen Brauchtums.;positive;
27365;olavgutting;0;0;@SpardaVerband Zukunftsrat. Verbraucherschutz und Nachhaltigkeit sind bei Genosswnschaftsbanken in der DNA;positive;
42155;s_muenzenmaier;1;9;Keine klare Linie, keine klare Haltung. Merkel-Gaeste duerfen dank der voellig planlosen Abschiebepolitik bleiben. Und wir stellen wieder einmal fest: Deutschland hat ein (Nicht-)Abschiebeproblem!   TM NieMehrCDU;negative;Flüchtingskrise
38920;SybilleBenning;0;1;Danke und Respekt allen Polizistinnen und Polizisten, die in Hamburg im Einsatz waren! /sb;positive;Polizeiarbeit
57063;HeikoMaas;43;153;Die Todesstrafe widerspricht allen unseren Vorstellungen von Menschenwuerde. Niemand hat das Recht, Menschen als Strafe vorsaetzlich zu toeten.;negative;Todesstrafe
11341;HuberMdB;11;52;Die deutsche Bevoelkerung ist angesichts der Oeffnung der tuerkischen Grenze und Coronavirus in hoechster Gefahr. Aber wo steckt Merkel, wann wurde sie zuletzt gesehen und wird Deutschland ueberhaupt noch regiert? IStandWithGreece;negative;Corona, Merkel
26566;niemamovassat;14;64;@DaniLudwigMdB @Paritaet @BMG_Bund @csu_bt @cducsubt Bin nur noch am Kopfschuetteln. Sie reden von Schadensminimierung und ueberlassen Suchtkranke dem Schwarzmarkt, auf dem jeder Muell verkauft wird. Sie sprechen von Dialog und unterstuetzen die massive Strafverfolgung von Konsumenten. Was soll da der Dialog sein?!;negative;
41184;gtzfrmming;15;73;Die Gruenen wollen Aerzte zur Abtreibung zwingen, also Leben auszuloeschen, statt es zu bewahren.   Das pervertiert die aerztliche Ethik ins Gegenteil, wie sie im Eid des Hippokrates zum Ausdruck kommt. Abtreibung;negative;Abtreibung
24378;saskialudwig17;1;4;Auf keinen Fall darf es dieses neue Gesetz geben. Niemand hat das Copyright auf die einzig wahre Wahrheit!;negative;Gesetzesentwurf
13590;ManuelHoeferlin;0;0;@pc_org @petertauber ich bin auch fuer ein intensiveres Miteinander in der digitalen Gesellschaft ))) npk;positive;
15828;KirstenKappert;0;11;Also, ich fand es schon sehr bizarr, dass gerade Christian Linder findet, es sei an ihm grossspurig der Kanzlerin die Angemessenheit ihrer Rede zu attestieren. bundestag;negative;
8848;KatjaSuding;280;1781;Ich starte nachdenklich in die Woche: Was ist das Leben wert, wenn wir uns die Freiheit zu leben nehmen lassen? Coronakrise Wochenstart;negative;Corona
38582;FrankSchwabe;1;7;Es ist ein gutes Zeichen, dass sich die Parlamentspraesidenten der G7 Laender auf eine Erklaerung zum Schutz der Ozeane geeinigt haben. Wir muessen dringend den Fokus veraendern. Die Ozeane sind nicht in erster Linie ein Wirtschaftsfaktor sondern ein Naturraum. Meeresschutz;positive;Klima
25703;CarenLay;40;210;Die AfD will gleich im Bundestag ueber den rechten Frauenmarsch debattieren. Schon wieder wollen sie Frauenrechte fuer ihren Rassismus instrumentalisieren. Ich spreche fuer die @Linksfraktion: Gib Hass keine Chance! @aufstehengegen @BBgegenRechts;negative;Right
35998;sabineleidig;2;3;Gute Idee von @DietmarBartsch: Das VW-Landeseigentum in Belegschaftseigentum umwandeln. Dieselskandal dieselgate;positive;Dieselskandal
54832;beatewaro;5;4;Soeders Tweet, auch wenn er ihn geloescht hat, ist sogar der CDU peinlich...;negative;
49007;gitta_connemann;5;21;Reichsfahnen vor dem Reichstag - gestuermt von Extremisten und Coronaleugnern. Die Koalition des Grauens. Jeder der Mitlaeufer muss dies bemerkt haben. Demokratie muss aushalten koennen. Aber das war ein Angriff mitten ins Herz von Feinden. Flankiert vom Versagen des Landes Berlin.;negative;Right/Corona
42611;KaiGehring;2;12;Jahresbericht der @ADS_Bund zeigt: Starker Anstieg rassistischer Diskriminierung in Deutschland. Dagegen koennen LADG  Antidiskriminierungsstelle helfen, um nachhaltigen Schutz vor Ort auszubauen. Berlin machts mit @Dirk_Behrendt  @s_k_walter vor!;negative;Right
15117;JuergenBraunAfD;0;4;@hajoschumacher Was tun Journalisten in einer Diktatur? Sie loben die Regierung und agitieren gegen die Opposition.  Merkel Staatsfunk ARDZDF;negative;
10550;DennisRohde;0;0;@webd_markward anscheinend kennen sie die historische dimension ihrer worte nicht. sorry, aber der tweet war einfach widerlich!;negative;
7789;groehe;0;0;Gestern Abend gutes Gespraech ueber Lehren aus Ebolainternationale Zusammenarbeit mit @PresAlphaConde WEF;positive;
8390;niemamovassat;47;227;Die Berliner Polizei ist sehr effektiv. Wenn es gegen links geht. Den Kumpels im rechten Spektrum gegenueber ist man da...feinfuehliger.;negative;Right
41513;Tino_Chrupalla;7;25;+++ Ja zu deutscher Wertarbeit - Ja zum Meisterbrief! +++ Am Donnerstag spreche ich im Deutschen Bundestag ueber die Wiedereinfuehrung des Meisterbriefs. AfD;positive;Meisterbrief
41885;monikalazar;0;5;@MiKellner es war heute eine sehr schoene, abwechslungsreiche und inspirierende Runde und hat viel Spass gemacht! Ist eine gute Idee mit der Ostkonferenz.;positive;
39396;SevimDagdelen;50;141;Waehrend das Gesundheitssystem kollabiert, noch nicht einmal ausreichend Schutzmasken  Atemgeraete gegen Covid19 zur Verfuegung stehen,ist es vollkommen irre, jetzt Milliarden fuer die Anschaffung neuer Kampfjets  atomare (!) Ruestungsprojekte zu verprassen.;negative;Finanzpolitik
16090;LisaPaus;17;49;Ein Gericht hat geurteilt, dass todkranke Menschen Betaeubungsmittel erhalten duerfen, um selbstbestimmt zu sterben. Aber Spahn setzt das Urteil einfach nicht um. Das empoert mich. Deshalb unterstuetze ich die interfraktionelle Erklaerung zur sterbehilfe;negative;Sterbehilfe
25681;MechthildRawert;7;17;Wir freuen uns auf das lesbisch-schwule Stadtfest in Schoeneberg Motzstrassenfest mit Angelika Schoettler und Melanie  Kuehnemann;positive;Diversity
2473;MdbWendt;0;1;Die Idee des Radwegs entlang der S31 unterstuetze ich zum Ausbau der touristischen Infrastruktur und zur...;positive;Tourismus
54814;b_riexinger;0;6;Aber auch viele andere Beschaeftigte brauchen Schutzkleidung und Lohnerhoehungen, mindestens aber Gefahrenzulage statt schoener Worte. Das Kurzarbeitergeld ist zu niedrig. Da haben viele Kolleginnen und Kollegen u.a. von @_verdi mit ihrer Kritik Recht! 3/6;negative;Kurzarbeitergeld
54816;karl_lauterbach;52;441;Ich bin der gleichen Meinung wie @c_lindner in dieser Sache, kommt nicht so oft vor. Aber Gesundheitsminister Spahn steht nicht ueber dem Gesetz. Er darf sich nicht als Herr ueber Leben und Tod inszenieren. Die qualvoll Leidenden haben ein Recht auf die Hilfe des Staates.;negative;Coronapolitik
25855;gydej;0;4;Politik (@sozmiSH/@Heiner_Garg) trifft auf Realitaet: Ein tolles Format mit ehrlichem Gespraech ueber die Zukunft einer immens wichtigen Berufsgruppe - Hebammen. Danke an alle, die diesen Beruf waehlen und Frauen vor, waehrend und nach der Geburt unterstuetzen.;positive;Hebammen
20665;brunnerganzohr;1;14;Es ist unglaublich. Auf unseren Strassen. Hohe Anerkennung fuer alle, die in diesen Tagen gegen die Nazis auf die Strasse gehen.  Chemnitz0109 Chemnitz;positive;Rights
42481;th_sattelberger;49;217;Lieber @jensspahn: Du musst handeln!Realitaetstaugliche Plaene fuer ProduktionLieferung von Masken Schnelltests. Auch @rki_de muss schleunigst Echtzeitdaten liefern. Nur so kann die Wirtschaft wieder angekurbelt werden! So wie jetzt kanns nicht weitergehen;negative;Coronapolitik
8260;Erhard_Grundl;2;12;Dieser Satz ist eine Verharmlosung der Verbrechen der Nazis. Herr Blume ist der erfolgloseste @CSU-Sekretaer aller Zeiten. Nach seinem Debakel beim juengsten Parteitag probiert er es jetzt mit Anwanzen an die Relativierer des 3. Reichs. Ganz armselig! niewieder;negative;Right
52060;b_riexinger;32;87;Milliarden fuer Panzer statt fuer Kitas - so sieht die Prioritaetensetzung der Bundesregierung aus. Statt an der Aufruestungsspirale mitzudrehen, soll sich die GroKo lieber um die Menschen hier kuemmern!;negative;Finanzpolitik
46577;konstantinkuhle;12;97;Eine Brexit-Verschiebung bis 30. Juni 2019 ist ueberfluessig und gefaehrlich. Weder aendert sie etwas am britischen Schlingerkurs, noch duerfen wir zulassen, dass die Legitimitaet der Europawahl und des naechsten Europaeischen Parlaments in Gefahr geraet.;negative;Brexit
9386;MarjaVoellers;0;2;Wir sehen gerade taeglich: Demokratie und ihre Werte sind nicht selbstverstaendlich. Sie wollen immer wieder aufs Neue verteidigt werden. Deshalb unterstuetze ich auch @Unteilbar_ unteilbar menschenrechte demo;positive;Menschenrechte
48514;lgbeutin;10;53;Die Beschaeftigten im Nahverkehr sind unverzichtbar, Ihnen gilt die volle Solidaritaet der @Linksfraktion meine ganze Pressemitteilung unter  Streik Warnstreiks;positive;Warnstreik
10857;DrHollnagel;2;4;Mit ihrer Negativzins-Politik treibt die EZB ein gefaehrliches Spiel. Sie suggeriert, das Geld wuerde reichen. Ueberfaellige Loesungsansaetze werden gar nicht erst gedacht. Das Experiment wird scheitern. Die Schaeden werden die Vorstellungskraft uebersteigen.;negative;Europafinanzpolitik
27336;Uwe_Schulz_AfD;2;4;Die Regierung nutzt den nicht-menschengemachten Klimawandel als Vorwand um eine neue Steuer einzufuehren, die die menschengemachte Fluechtlingskrise gegenfinanzieren soll. Und wieder gibt es genuegend Naive, die glauben, dass Sie was fuers Klima tun.;negative;Finanzpolitik
24247;MaikBeermann;0;1;Facebook muss hier klare Antworten liefern. Darum werden wir am Freitagmorgen in einer Sondersitzung des Ausschusses Digitale Agenda, kritische Fragen stellen. Demokratische Prozesse in solchem Masse zu beeinflussen geht gar nicht! facebook CambridgeAnalytica;negative;Facebook-Skandal
6045;ManuelSarrazin;0;2;@InaRuck @demianvonosten Liebe Frau Ruck, ich halte Ihre Einschaetzung fuer etwas vorschnell und es leider nicht fuer ausgeschlossen, dass die Vorwuerfe von Herrn Lutsenko eher zur Verteidigung von Poroschenko dienen (sollen). Insofern waere ich auch materiell bei diesen sehr quellenkritisch...;negative;
43740;christianduerr;30;239;Heute stellen wir unsere Klageschrift gegen den Soli vor. Fuer uns steht fest: Ueber Steuerpolitik kann man streiten, ueber die Verfassung nicht! @florian_toncar @fdpbt;negative;Steuerpolitik
25102;filizgreen;3;4;Grosser Dank an Landraetin Anna Kebschull und die Verwaltung des @lkosnabrueck fuer die Solidaritaet mit den gefluechteten Kindern. Die Bundesregierung muss jetzt aber trotz und wegen der Coronakrise mehr machen als diesen ersten kleinen Schritt. @vbajus;positive;Flüchtlingspolitik
9940;Beatrix_vStorch;493;1708;Das ist Noetigung, gefaehrlicher Eingriff in den Strassenverkehr. Das trifft den ganz normalen Buerger, der zur Arbeit muss. Extinction Rebellion fuehrt Krieg gegen die arbeitende Bevoelkerung. Das ist ein Angriff auf den Rechtsstaat.;negative;
20294;olliluksic;6;67;Effektive Kontrollen statt pauschale Fahrverbote fuer alle Motorraeder! Es reicht langsam mit den Verboten.;negative;Motorrad
28338;karl_lauterbach;57;593;Im Nachhinein scheint der lokale Lockdown in Guetersloh richtig gewesen zu sein. Da die Zahlen weiter ueber der vereinbarten Grenze liegen sollte er noch bestehen bleiben. Aber so ist der lokale Ausbruch beherrschbar und breitet sich wohl nicht weiter aus;positive;Coronapolitik
3831;TabeaRoessner;3;6;Was fuer eine Realsatire. Und es zeigt, dass so manche das Denken ausschalten, wenn sie den Rechner einschalten.;negative;
18217;saskialudwig17;1;15;In dieser Situation waere eine Mitgliederbefragung nicht nur sinnvoll, fair und machbar, sondern auch basisbefriedend.;positive;Mitgliederbefragung
260;EskenSaskia;0;2;@Marc52089592 @ZDFheute @jensspahn Ich erwaege hier gar nichts. und das habe ich auch mehr als deutlich gesagt: Kein Immunitaetsnachweis, solange die Immunitaet ungeklaert ist. Weit entfernt vom Eintrag in den Impfpass, solange es keine erprobte und gut eingefuehrte, fuer alle zugaengliche, *freiwillige* Impfung gibt.;negative;Coronapolitik
543;VolkerUllrich;3;3;Ja zu Griechenland ist ein gutes Ergebnis. Wie koennten wir sonst glaubhaft machen, die groessere Herausforderung Asyl in Europa zu loesen;positive;Europa
30318;PaulZiemiak;7;50;Die Werkstattgespraeche haben meine Erwartungen uebertroffen. Die Ergebnisse von heute sollen sich in unserem Europawahlprogamm und im Grundsatzprogramm wiederfinden. CDUWerkstatt @CDU;positive;
8024;karl_lauterbach;541;3655;FDP verpestet die Luft indem sie staendig mit einem sinnfreien Plakat (No GroKo) um den Bundestag kreist. Ideenlose leicht schwachsinnige Aktion. Dabei haette doch NUR die FDP die GroKo verhindern koennen, waren aber zu feige dafuer. Nutzt wenigstens ein E-Mobil oder schleppt selbst!;negative;FDP
48123;HildeMattheis;32;83;Fairness im Verfahren sieht meiner Meinung nach anders aus.;negative;
41330;stonie_kiel;1;5;Ich habe unterzeichnet: Aufstehen gegen Rassismus! aufstehen via @aufstehengegen;negative;Right
37857;Martin_Hess_AfD;5;18;Bundesinnenministerium und BAMF tragen erhebliche Mitverantwortung fuer Toetung von Daniel aus Chemnitz. Jahrelang liess man Migranten unbekannten Hintergrunds im Land, @BMI_Bund nahm Fachaufsicht ueber @BAMF_Dialog nicht wahr. Schluss mit diesem Desaster!;negative;Flüchtlingspolitik
35518;StefanRouenhoff;2;32;Mit der neu gegruendeten Projektgruppe Zukunft und Innovation der @cducsubt Antworten auf grundlegende Zukunftsfragen entwickeln+dabei neue Wege gehen! Freue mich, i.d. Gruppe mitarbeiten zu koennen! ThinkOutOfTheBox Vorausdenken InnovativeKonzepteEntwickeln ZukunftGestalten;positive;Innovationen
21040;MarcBernhardAfD;1;4;Bundeswehr am Ende! Von der Leyen als Verteidigungsministerin untragbar! Setzt falsche Prioritaeten. Anstatt Truppe aufzuruesten und Material zu modernisieren, wird Schwangerenbekleidung fuer Soldatinnen angeschafft. @AfDimBundestag @AlternativeBW;negative;Verteidigungsministerin
